artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Train;Drive By;195973;2012;122.028;pop;0.837;1;-3.113
Avant;Read Your Mind;263506;2003;73.108;pop, R&B;0.381;8;-6.696
Gorgon City;Ready For Your Love;198880;2014;121.939;pop, Dance/Electronic;0.753;5;-7.038
JLS;Beat Again - Radio Edit;196640;2009;120.02;pop;0.93;11;-4.577
DB Boulevard;Point Of View - Radio Edit;231166;2018;129.006;Dance/Electronic;0.715;6;-6.854
Gorillaz;DARE;244999;2005;120.264;hip hop;0.891;11;-5.852
J. Cole;Power Trip (feat. Miguel);241160;2013;99.991;hip hop;0.61;1;-7.054
50 Cent;Disco Inferno;214226;2005;97.018;hip hop, pop;0.659;3;-4.763
Trey Songz;Bottoms Up (feat. Nicki Minaj);242013;2010;74.008;hip hop, pop, R&B;0.601;1;-5.283
P!nk;Get the Party Started;192533;2001;128.93;pop;0.903;11;-3.267
CNCO;Reggaetón Lento (Remix);188786;2017;93.984;pop, latin;0.909;4;-3.079
Nicki Minaj;Super Bass;200013;2010;126.991;hip hop, pop;0.861;11;-4.339
Enrique Iglesias;Be With You;219360;1999;121.996;pop, latin;0.866;1;-5.436
Katy Perry;Teenage Dream;227741;2010;120.011;pop;0.798;10;-4.582
Basement Jaxx;Good Luck;282306;2003;154.07;pop, Dance/Electronic;0.968;5;-3.092
DJ Khaled;I'm On One;296146;2011;149.33;hip hop, pop;0.807;11;-3.499
Blake Shelton;Sure Be Cool If You Did;215720;2013;136.802;country;0.726;11;-4.625
Taio Cruz;Dynamite;202613;2010;119.975;hip hop, pop;0.783;4;-3.724
Amy Winehouse;Back To Black;241293;2006;122.728;R&B;0.422;7;-13.964
Paloma Faith;Only Love Can Hurt Like This;232893;2014;90.99;pop, R&B, Dance/Electronic;0.885;8;-4.528
Ariana Grande;The Way;227026;2013;82.324;pop;0.878;5;-3.208
Luis Fonsi;Despacito (Featuring Daddy Yankee);228200;2017;177.833;pop, latin;0.786;2;-4.757
JAY-Z;Empire State Of Mind;276920;2009;173.585;hip hop;0.956;11;-1.538
Lykke Li;I Follow Rivers - The Magician Remix;281106;2011;122.019;pop, Dance/Electronic;0.709;9;-5.737
Silentó;Watch Me (Whip / Nae Nae);185131;2015;139.982;hip hop;0.768;8;-8.522
Ja Rule;Mesmerize;278693;2002;90.079;hip hop, pop, R&B;0.646;1;-6.653
Kylie Minogue;Love at First Sight;238266;2001;124.994;pop, Dance/Electronic;0.774;3;-6.066
Panjabi MC;Mundian to Bach Ke;244666;2003;98.077;World/Traditional, hip hop;0.879;8;-4.951
Kylie Minogue;In Your Eyes;197826;2001;123.971;pop, Dance/Electronic;0.894;6;-6.342
Rachel Stevens;Sweet Dreams My LA Ex - Radio Edit;208386;2003;130.036;pop, Dance/Electronic;0.862;2;-3.587
Sugababes;Round Round;236426;2002;126.607;pop, R&B;0.845;6;-3.802
